country,year,company,marketperspective,moralperspective,innovationperspective
us,1999,lowe's,0,0,0
us,1999,fedex,0,0,0
us,1999,southwestairlines,0,0,0
us,1999,fluor,0,0,0
us,1999,capitalonefinancial,0,0,0
us,1999,targetcorp.,0,0,0
us,1999,autonation,0,0,0
us,1999,berkshirehathaway,0,0,0
us,1999,waltdisney,0,0,0
us,1999,hp,0,1,0
us,1999,amazon.cominc.,0,0,0
us,1999,jabil,0,0,0
us,1999,chevron,0,0,1
us,1999,generalelectric,0,0,0
us,1999,goldmansachsgroup,0,0,0
us,1999,intel,0,0,0
us,1999,cvshealth,0,0,0
us,1999,westerndigital,0,0,0
us,1999,wellsfargo,0,0,0
us,1999,chartercommunications,0,0,0
us,1999,lockheedmartin,0,0,0
us,1999,bankofamericacorp.,0,0,0
us,1999,walmart,0,0,0
us,1999,danaher,0,0,0
us,1999,ibm,0,0,1
us,1999,emerson electric,0,0,0
us,1999,boeing,1,0,0
us,1999,carmax,0,0,0
us,1999,internationalpaper,0,0,0
us,1999,starbucks,1,0,0
us,1999,humana,0,0,0
us,1999,eogresources,0,0,0
us,1999,proxy&gamble,0,0,0
us,1999,costco,0,0,0
us,1999,allstate,0,0,0
us,1999,homedepot,0,0,0
us,1999,bestbuy,0,0,0
us,1999,unitedtechnologies,0,0,0
us,1999,metlifeinc.,0,0,0
us,2017,southwestairlines,0,0,0
us,2017,halliburton,0,0,0
us,2017,americanexpress,0,0,0
us,2017,dollartree,0,0,0
us,2017,lockheedmartin,0,0,0
us,2017,jabil,0,0,0
us,2017,wellsfargo,0,7,5
us,2017,fluor,1,0,0
us,2017,marriottinternational,0,0,0
us,2017,genuineparts,0,0,0
us,2017,mckesson,0,0,0
us,2017,emerson electric,0,0,0
us,2017,paccar,0,0,0
us,2017,goldmansachsgroup,0,0,0
us,2017,honeywellinternational,0,3,0
us,2017,fedex,0,0,0
us,2017,exxonmobil,0,0,1
us,2017,nucor,0,0,0
us,2017,southerncompany,1,1,1
us,2017,humana,0,0,0
us,2017,berkshirehathaway,0,0,0
us,2017,raytheon,0,0,0
us,2017,sysco,0,0,0
us,2017,bankofamericacorp.,0,1,0
us,2017,targetcorp.,0,0,0
us,2017,hp,0,2,0
us,2017,freeport-mcmoran,0,0,0
us,2017,coca-cola,2,7,0
us,2017,generaldynamics,0,1,0
us,2017,boeing,0,0,0
us,2017,ups,0,0,0
us,2017,fordmotor,0,0,0
us,2017,libertymutualinsurance,0,0,0
us,2017,internationalpaper,0,0,0
us,2017,pnc,0,0,0
us,2017,appliedmaterials,0,0,0
us,2017,ibm,0,1,0
us,2017,metlifeinc.,0,0,1
us,2017,starbucks,0,0,0
us,2017,homedepot,0,0,0
us,2017,generalelectric,0,0,0
us,2017,usbancorp,0,2,0
us,2017,archerdanielsmidland,0,0,3
us,2017,autonation,0,0,0
us,2017,lowe's,0,0,0
us,2017,waltdisney,0,0,0
us,2017,intel,0,0,1
us,2017,allstate,3,4,3
us,2017,lear,0,0,0
us,2017,prudentialfinancial,0,0,0
us,2017,proxy&gamble,1,0,0
us,2017,altriagroup,0,0,0
us,2017,cvshealth,0,1,0
us,2017,bestbuy,0,0,0
us,2017,johnson&johnson,0,0,0
us,2017,eogresources,0,0,1
us,2017,danaher,0,0,0
us,2017,chevron,0,0,1
us,2017,whirlpool,1,0,0
us,2017,costco,0,1,0
us,2017,nexteraenergy,0,0,0
us,2017,walmart,0,0,0
us,2017,aflac,0,0,0
us,2017,jpmorganchase,0,0,0
us,2017,carmax,0,0,0
us,2017,capitalonefinancial,0,0,0
us,2017,molinahealthcare,0,0,0
us,2017,bristolmyerssquibb,0,1,0
us,2017,verizon,0,0,0
us,2017,unitedtechnologies,0,0,0
us,2014,lockheedmartin,0,0,0
us,2014,jpmorganchase,0,0,0
us,2014,molinahealthcare,0,0,0
us,2014,nexteraenergy,1,1,0
us,2014,berkshirehathaway,1,0,0
us,2014,generalelectric,0,0,1
us,2014,allstate,0,0,0
us,2014,freeport-mcmoran,0,0,0
us,2014,generaldynamics,0,1,0
us,2014,verizon,0,0,0
us,2014,marriottinternational,0,0,0
us,2014,proxy&gamble,0,0,0
us,2014,altriagroup,0,1,0
us,2014,southerncompany,0,0,0
us,2014,starbucks,0,0,0
us,2014,appliedmaterials,0,0,0
us,2014,ciscosystems,0,0,0
us,2014,paccar,0,0,0
us,2014,usbancorp,0,2,0
us,2014,carmax,0,0,0
us,2014,aflac,0,0,0
us,2014,unitedtechnologies,0,0,0
us,2014,johnson&johnson,0,0,0
us,2014,westerndigital,0,0,0
us,2014,eogresources,0,0,0
us,2014,humana,0,0,0
us,2014,halliburton,0,0,0
us,2014,walmart,0,0,0
us,2014,wellsfargo,1,0,4
us,2014,prudentialfinancial,0,2,0
us,2014,mckesson,0,0,0
us,2014,genuineparts,0,0,0
us,2014,southwestairlines,0,0,0
us,2014,whirlpool,0,0,0
us,2014,lear,0,1,3
us,2014,danaher,0,0,0
us,2014,ibm,0,0,0
us,2014,chartercommunications,0,0,0
us,2014,pnc,0,0,0
us,2014,chevron,0,1,0
us,2014,metlifeinc.,0,0,1
us,2014,fordmotor,0,0,0
us,2014,sysco,0,0,1
us,2014,exxonmobil,0,0,0
us,2014,boeing,0,0,0
us,2014,goldmansachsgroup,0,0,0
us,2014,internationalpaper,0,0,0
us,2014,cvshealth,0,0,0
us,2014,archerdanielsmidland,0,0,4
us,2014,libertymutualinsurance,0,0,0
us,2014,honeywellinternational,0,0,0
us,2014,bankofamericacorp.,0,0,0
us,2014,dollartree,0,0,0
us,2014,waltdisney,0,0,0
us,2014,targetcorp.,0,0,0
us,2014,homedepot,0,0,0
us,2014,fedex,0,0,0
us,2014,lowe's,0,0,0
us,2014,intel,0,2,0
us,2014,bestbuy,0,0,0
us,2014,amazon.cominc.,0,0,0
us,2014,capitalonefinancial,0,0,0
us,2014,fluor,2,0,0
us,2014,ups,0,0,0
us,2014,hp,0,0,0
us,2014,coca-cola,1,3,1
us,2014,autonation,0,0,0
us,2014,emerson electric,0,0,0
us,2014,raytheon,0,0,0
us,2014,bristolmyerssquibb,1,2,0
us,2009,ibm,0,0,0
us,2009,archerdanielsmidland,0,0,0
us,2009,proxy&gamble,0,0,1
us,2009,pnc,1,0,0
us,2009,altriagroup,0,1,0
us,2009,molinahealthcare,1,1,0
us,2009,usbancorp,0,1,0
us,2009,nexteraenergy,0,0,0
us,2009,prudentialfinancial,0,1,0
us,2009,westerndigital,0,0,0
us,2009,amazon.cominc.,0,0,0
us,2009,eogresources,0,0,0
us,2009,freeport-mcmoran,0,0,0
us,2009,genuineparts,0,0,0
us,2009,bankofamericacorp.,0,2,1
us,2009,intel,0,0,0
us,2009,jabil,0,0,0
us,2009,starbucks,0,0,0
us,2009,chevron,0,0,0
us,2009,lowe's,0,0,0
us,2009,allstate,0,0,0
us,2009,appliedmaterials,0,0,0
us,2009,fedex,0,0,0
us,2009,marriottinternational,0,0,0
us,2009,americanexpress,0,0,0
us,2009,walmart,0,0,0
us,2009,wellsfargo,0,0,0
us,2009,paccar,0,0,0
us,2009,raytheon,0,0,1
us,2009,fordmotor,0,1,0
us,2009,verizon,0,1,0
us,2009,ups,0,0,0
us,2009,goldmansachsgroup,0,0,0
us,2009,bestbuy,0,0,0
us,2009,carmax,0,0,0
us,2009,autonation,0,0,0
us,2009,cvshealth,0,0,0
us,2009,sysco,0,0,1
us,2009,whirlpool,0,0,0
us,2009,dollartree,0,0,0
us,2009,mckesson,0,0,0
us,2009,targetcorp.,0,0,0
us,2009,southwestairlines,0,0,0
us,2009,chartercommunications,0,0,0
us,2009,generaldynamics,0,0,0
us,2009,unitedtechnologies,0,3,0
us,2009,aflac,0,0,0
us,2009,emerson electric,0,0,0
us,2009,lockheedmartin,0,0,0
us,2009,ciscosystems,0,0,0
us,2009,southerncompany,0,0,0
us,2009,coca-cola,0,1,1
us,2009,nucor,0,0,0
us,2009,homedepot,0,0,0
us,2009,berkshirehathaway,0,0,0
us,2009,honeywellinternational,0,0,0
us,2009,metlifeinc.,0,0,1
us,2009,costco,0,0,0
us,2009,capitalonefinancial,0,0,0
us,2009,hp,0,0,0
us,2009,fluor,2,0,0
us,2009,libertymutualinsurance,0,0,0
us,2009,boeing,0,0,0
